id;text;note
153;Ich stehe in einer Sperrzone. Bitte setz mich aus diesem Bereich heraus.;
154;Zu viele Befehle in kurzer Zeit. Bitte versuche es später erneut.;
155;Ich fahre zurück zur Lade- und Waschstation.;
156;Die Mopphalterung ist nicht eingesetzt.;
157;Ich bin schon an der Lade- und Waschstation.;
162;Kamera ist an.;
163;Kameraüberwachung läuft.;
164;Aufgabe beendet.;
166;Bitte entferne die Fremdkörper, die sich im Wischmopp verfangen haben.;
169;Der Wischmopp ist getrocknet.;
170;Alle Tasten sind gesperrt. Halte die Tasten an der Station gedrückt zum Entsperren.;
171;KI-Erkennung ist an.;
172;KI-Erkennung ist aus.;
173;Bitte tausche den Silberionen-Sterilisator.;
177;Ich verlasse die Station.;
179;Wischmopp gereinigt. Im Frischwassertank ist zu wenig Wasser. Bitte füll nach und leer den Schmutzwassertank.;
181;Zu wenig Wasser. Bitte füll den Frischwassertank.;
186;Bitte prüfe den Frischwassertank.;
187;Das dauert etwa fünf bis zehn Minuten.;
188;Automatisches Andocken läuft.;
200;;Abschalt-Sound (leer lassen = Werkssound)
244;Reinigungsmittel eingesetzt.;
257;Kameraüberwachung beendet.;
258;Positioniert. Ich starte die Rundfahrt.;
259;Positioniert. Ich fahre zum angegebenen Ziel.;
260;Positioniert. Ich setze die Rundfahrt fort.;
261;Positioniert. Ich fahre weiter zum Ziel.;
262;Die Positionierung ist fehlgeschlagen.;
263;Bitte entferne die Fremdkörper aus der Hauptbürste. Positioniere mich neu und starte erneut.;
264;Aufgabe erledigt. Bitte reinige den Staubbehälter und die Wischplatte.;
266;Bitte tausche das Reinigungsmittel.;
267;Bitte reinige die Sensoren.;
274;;Signalton (leer lassen = Werkssound)
280;Ich starte die benutzerdefinierte Reinigung.;
281;Ich sauge gerade ab. Bitte versuche es später erneut.;
282;Ich reinige gerade den Wischmopp. Bitte versuche es später erneut.;
283;Ich stehe nicht in der Station. Bitte versuche es später erneut.;
293;Anrufe aktiviert.;
294;Anrufe deaktiviert.;
